Question,Answer
who wrote the song be thankful for what you got?,William DeVaughn
what is the minimum wage in france per hour?,"€1,498.47 per month, €9.88 per hour"
what information is displayed in clear text from the ftp header?,all transmissions
what is the torah portion of the week?,a section of the Torah (Five Books of Moses) used in Jewish liturgy during a single week
what is the name of son of lord krishna?,Pradyumna
what is an international system in international relations?,"the individual level, the domestic state as a unit, the international level of transnational and intergovernmental affairs, and the global level"
what is the name of the gap between two front teeth?,diastema
what is the meaning of gorakh dhanda in urdu?,You are a Puzzle
what is the word for clarified butter in the balkans and middle east?,smen
what is the name of the compound p4010?,Phosphorus pentoxide
what is a home run with a girl?,"""full"" sexual intercourse"
who is the father of genetics and what did he study?,Mendel
what state did they film daddy's home 2?,Massachusetts
what is the source of information for account receivables?,invoices
what is the main religion in british columbia?,Protestant
what would the free trade agreement of the americas (ftaa) do?,"eliminate or reduce the trade barriers among all countries in the Americas, excluding Cuba"
what is the average depth of the english channel?,63 m (207 ft)
what was the first episode of season 2 riverdale?,Chapter Fourteen: A Kiss Before Dying
what is a another name for the water cycle?,the hydrological cycle or the hydrologic cycle
what is the meaning of the movie wonder?,a child with Treacher Collins syndrome trying to fit in
what is the biggest determinant of climate in venezuela?,altitude
who invented the printing press and in what year?,Johannes Gutenberg around 1440
what is the meaning of the harp in ireland?,the arms of Ireland
what is the origin of the word celsius?,named after the Swedish astronomer Anders Celsius
what is the full form of cfc's?,Chlorofluorocarbons
what is the cash option for the mega millions?,whether they wish to collect a jackpot prize in cash or annuity
what does the ghost of christmas present sprinkle from his torch?,a little warmth
what determines the number of senate seats held by each state?,Article One of the United States Constitution
what does the stars and stripes mean on the american flag?,the 50 states of the United States of America
what is the aim of the consumer credit act?,"to establish for the protection of consumers a new system, administered by the Director General of Fair Trading, of licensing and other control of traders concerned with the provision of credit, or the supply of goods on hire or hire-purchase, and their transactions, in place of the present enactments regulating moneylenders, pawnbrokers and hire-purchase traders and their transactions; and for related matters"
what was the initial effect of the transition from command to market economies in eastern europe?,Inequality of opportunity
what territory is spain and the united kingdom in a dispute over?,Gibraltar
in ready player one what does oasis stand for?,a virtual reality simulator accessible by players using visors and haptic technology such as gloves
what did the guano islands act allow the us to do?,enables citizens of the United States to take possession of unclaimed islands containing guano deposits
what process causes the continents to drift apart how?,Continental drift
who invented the first computer game in 1962 and what was the name of the game?,Spacewar!
who played the mom on what's eating gilbert grape?,Darlene Cates
where is the limbic system located and what is its function?,"on both sides of the thalamus, immediately beneath the cerebrum"
what are the roles of international monetary fund?,to foster global monetary cooperation
what are plasmodesmata and what is their function?,microscopic channels which traverse the cell walls of plant cells[2] and some algal cells
what mall did they use in back to the future?,Puente Hills Mall
what does rt mean on a dodge car?,Road/Track
what written material is included in the talmud?,"the Mishnah (Hebrew: משנה, c. 200 CE), a written compendium of Rabbinic Judaism's Oral Torah"
what are the value of style guides and style sheet?,improve communication
what is the approximate volume of blood in your body?,"approximately 5 liters, with females generally having less blood volume than males"
what season does bart bass die in gossip girl?,)
what type of novel is goodbye mr chips?,Psychological fiction
what happened at the 1939 worlds fair in regards to television?,Television demonstrations are held
what does watch your p's and q's?,"""mind your manners"", ""mind your language"", ""be on your best behaviour"" or similar"
what is the first book of percy jackson?,The Lightning Thief
what is george harrison song wah wah about?,his frustration with the atmosphere in the group at that time
what is the latest version of microsoft office 2010?,14.0.7182.5000
what does the yellow section of the erg contain?,references the material in order of its assigned 4-digit ID number/UN/NA number
what was the religion in persia before islam?,the Zoroastrian religion
what was the name of the plant on little shop of horrors?,Audrey II
what nba team did derrick rose play for?,Chicago Bulls
what year did the us hockey team won the olympics?,1960 and 1980
what is loihi and where does it originate from?,an active submarine volcano about 35 km (22 mi) off the southeast coast of the island of Hawaii
what is a dropped pin on google maps for?,marks locations
what is non controlling interest on balance sheet?,the portion of a subsidiary corporation's stock that is not owned by the parent corporation
who makes the decisions about what to produce in a market economy?,capital and financial markets
what was the name of atom bomb dropped by usa on hiroshima?,Little Boy
what is pumped up kicks the song about?,the homicidal thoughts of a troubled youth
2. what are the reasons states impose protectionists policies on other countries?,"shield the producers, businesses, and workers of the import-competing sector in the country from foreign competitors"
what event provoked congress to propose the eleventh amendment and the states to ratify it?,U.S. Supreme Court's decision in Chisholm v. Georgia
what is the meaning of the name comanche?,"""Comanche"" is from the Ute name for them, kɨmantsi (enemy)"
what are bulls used for on a farm?,breeding
what are the joyful mysteries of the holy rosary?,The Annunciation
what is the meaning of the dragon boat festival?,commemorating fealty and filial piety
what is the baby elephants name in jungle book?,Hathi Jr.
what degree is a crock pot on low?,71–74 °C (160–165 °F)
what color is the cue ball in pool?,white
what is the longest panic at the disco song title?,"""There's a Good Reason These Tables Are Numbered Honey, You Just Haven't Thought Of It Yet"""
what's the point of having a belly button?,the attachment site of the umbilical cord
when is chinese new year and what year is it?,"Friday, 16 February"
what year did the price is right first air?,1956
what is the minimum number of parties required to enter into a deed?,two parties
what are some elements that are similar to silver?,copper (Cu)
what year is the deer hunter set in?,1967
what is the number of cities in texas?,961
what college does everyone in gossip girl go to?,New York University
what is the origin of the name marilyn?,a blend of the English given names Mary and Lynn
what is the concept of unfair labor practice in labor code?,actions taken by employers or unions that violate the National Labor Relations Act of 1935 (49 Stat. 449) 29 U.S.C. § 151–169 (also known as the NLRA and the Wagner Act after NY Senator Robert F. Wagner[1]) and other legislation
what is the name of the restaurant in seinfeld?,Monk's Café
what is the center of heredity in a cell?,nucleus
what is foundation trust status in the nhs?,semi-autonomous organisational units within the National Health Service in England
what is the name of season 6 of american horror story?,American Horror Story: Roanoke
who created the very first adhesive postage stamp and what year?,Sir Rowland Hill
who was the original host of what's my line?,John Daly
who sings you can't get what you want?,the Rolling Stones
what is on a mcchicken sandwich from mcdonalds?,"a toasted wheat bun, a breaded chicken patty, shredded lettuce, and mayonnaise"
what channel is big 10 network on fios?,85 (SD)
what year did the golden state warriors win their first nba championship?,1947
what is the average time in hospice care?,57 days
what is the population of the tri-cities washington?,"283,846"
what is the meaning of https //?,Hypertext Transfer Protocol (HTTP) for secure communication
the nurses' health study is an example of what type of study?,"a series of prospective studies that examine epidemiology and the long-term effects of nutrition, hormones, environment, and nurses' work-life on health and disease development"
what is the official slogan for the 2018 winter olympics?,Passion. Connected.
what is the membrane on the surface of the stomach called?,serous membrane (or serosa)
who was fighting in the civil war in england and about what?,"Parliamentarians (""Roundheads"") and Royalists (""Cavaliers"")"
who wrote the song what child is this?,William Chatterton Dix
what is the use of silvering the walls of thermos flask?,Heat transfer by thermal radiation may be minimized
what type of government is in north america?,Federal presidential constitutional republic
what happens when an air mass is pushed up and over a mountain range?,Orographic lift
what is the meaning of shalom in english?,"peace, harmony, wholeness, completeness, prosperity, welfare and tranquility and can be used idiomatically to mean both hello and goodbye"
what country shares borders with both belarus and romania?,Ukraine
what happens when iron reacts with oxygen and water?,Rust
where did the titanic sink at what ocean?,North Atlantic Ocean
last episode of what happens to my family?,53
what was the immediate catalyst to the civil war?,slavery
what happens to water that infiltrates the soil if it is not absorbed by the roots of plants?,runoff
what does g stand for in baseball stats?,Games
what is the purpose of a jake brake?,slowing the vehicle
what movie is count on me by bruno mars in?,A Turtle's Tale: Sammy's Adventures
what was the meaning of the song puff the magic dragon?,the hardships of growing older
the type of display that google glass presents to its users is called what?,640×360 Himax HX7309 LCoS display
what type of government did the ming dynasty have?,imperial rule
under article 1 what is the minimum age required to serve in the house of representatives?,25
what is the population of st petersburg fl?,"257,083"
what category was hurricane charley when it hit florida?,4
what does the adrenal gland produce that is necessary for the sympathetic nervous system to function?,epinephrine
what is the most fundamental unit of life according to the cell theory?,cells
what is the name of the muslim dress?,hijab
what is the democracy of the united states?,federal republic
what percentage of global man-made co2 emissions comes from worldwide aviation?,4 percent cumulative effect
what were the results of the development of florida's railroads?,towns grew and farmland was cultivated along the rail line
what was the point of the second amendment?,protects the right of the people to keep and bear arms
what is cost of first class mail stamp?,.49
what is the irs form 990 used for?,to prevent organizations from abusing their tax-exempt status
what type of artwork was created in the safavid empire?,book
what type of economic system was utilized in the soviet union?,communism
what is the function of a political action committee (pac)?,"pools campaign contributions from members and donates those funds to campaign for or against candidates, ballot initiatives, or legislation"
what river is associated with the city of rome?,Tiber
what's the highest point in the us?,Mount Whitney
what is a whistle blower suit under the false claims act?,qui tam
what has been the origin of most classical dances of india?,the Sanskrit text Natya Shastra
what are the colors of the netherlands flag?,"red, white, and blue"
what are the first and second major religions in france?,Catholicism
what is the name of the first earthquake early warning system?,1991
what type of data is provided in a knowledge base?,complex structured and unstructured information used by a computer system
what is an open university grade 3 pass?,55–69%
what episode of pll does jenna get her sight back?,If These Dolls Could Talk
what are the 5 boroughs of new york city?,Manhattan
what is the main industry in the canadian shield?,mining
what makes a mini bike a mini bike?,a miniature motorcycle
what is the origin of the name marvin?,Welsh
what is the lead singers name of staind?,Aaron Lewis
what type of legal system is used in the uk?,English law
what is the role of the civil service commission?,"to regulate the employment and working conditions of civil servants, oversee hiring and promotions, and promote the values of the public service"
what is the highest scoring letter in scrabble?,Q
india's first arctic research station set up in 2008 what is the name?,Himadri Station
what is the rank of pakistan in population?,5
what kind of plate boundary is nepal on?,orogenic belt
1. what was the precursor to the present day internet?,The Internet protocol suite (TCP/IP)
what is the name of india pakistan border?,known locally as the International Border (IB)
what happens to the body during the fight or flight response?,"the adrenal medulla produces a hormonal cascade that results in the secretion of catecholamines, especially norepinephrine and epinephrine"
what is the central idea of the poem the rime of ancient mariner?,a violation of nature and the resulting psychological effects on the mariner and on all those who hear him
what is the name given to the common currency to the european union?,The euro
what type of reproduction do whiptail lizards use?,parthenogenesis
what is upstream project in oil and gas?,"searching for potential underground or underwater crude oil and natural gas fields, drilling exploratory wells, and subsequently drilling and operating the wells that recover and bring the crude oil or raw natural gas to the surface"
what is the name for the ch3coo- ion?,hydrogen acetate (called acetic acid)
what is the written dialogue portion of a musical called?,libretto
what time can you legally buy alcohol in michigan?,7 a.m.
tools made from high-speed tool steel are generally used for what type of machining operations?,milling
what nfl coach has the most wins ever?,Don Shula
what is property of a system in thermodynamics?,"any property that is measurable, and whose value describes a state of a physical system"
what city was zeus the patron god of?,Elis
what do you call a person who officiates a wedding?,"A marriage officiant, solemniser, or ""vow master"""
what is the highest peak in the ozarks?,Buffalo Lookout
what is the setting of the book hoot?,Florida and into the town of Coconut Cove
what is the system of government in japan?,constitutional monarchy
what was the code name of the us program to develop an atomic bomb?,The Manhattan Project
what is the area code for phoenix arizona?,602
what is the meaning of lord shiva lingam?,reminds of the Omnipotent Lord
what are the 5 pillars of faith of islam?,life
what was generally the preferred way for european powers to control colonial regions?,Indirect rule
what did the treaty of paris do for the united states?,acknowledges the United States' existence as free sovereign and independent states
what are the names of the hunger games?,The Hunger Games (2012)
what engine is in a holden v8 supercar?,"a 5.0-litre, naturally aspirated V8-engine with electronic fuel injection"
what type of dog was laika the spacedog?,"Mongrel, possibly part-husky (or part-Samoyed) and part-terrier"
what are the 4 types of nitrogenous bases?,adenine (A)
what are the toll roads called in mexico?,autopistas
the value in the null hypothesis comes from​ what?,defined so that the probability of occurrence of a more extreme value is small under the null hypothesis (usually in less than either 5% or 1% of similar data-sets in which the null hypothesis does hold)
what type of boundary was the mexico earthquake?,a subduction zone
what is the point in a rugby scrum?,restarting play after a minor infringement
what were the two causes of the dust bowl?,severe drought
what were the chief spiritual aims of the catholic church and mendicant orders?,"preaching, evangelism, and ministry, especially to the poor"
what's the use of fn key on laptop?,to combine keys which are usually kept separate
what color is the golden gate bridge in san francisco?,orange vermilion called international orange
what type of car is a g wagon?,Mercedes-Benz G-Class
what was the united states foreign policy after ww1 started?,neutrality
what is a wrinkle in time based on?,the 1962 novel of the same name by Madeleine L'Engle
what is the legal age for marriage in australia?,18
what is the most common cause of right ventricular heart failure?,pulmonary heart disease
what are the four requirements to establish criminal liability for gross negligence manslaughter?,the defendant owed a duty to the deceased to take care
what kind of animals live in the great victoria desert?,great desert skink
what is the oath that new citizens take?,United States Oath of Allegiance
what were rough riders in the spanish american war?,"the 1st United States Volunteer Cavalry, one of three such regiments raised in 1898 for the Spanish–American War and the only one of the three to see action"
colby chees is named after a town in what state?,Wisconsin
what episode does lori die on the walking dead?,Killer Within
what type of joint connects the incus with the malleus?,incudomallear joint
what is the account number of airtel payment bank?,Your Airtel mobile number
what is use case model in software engineering?,a list of actions or event steps typically defining the interactions between a role (known in the Unified Modeling Language as an actor) and a system to achieve a goal
what is the name of the shape with 100 sides?,hectogon
what is the minimum size of a udp datagram?,8 bytes
what happens to vanessa at the end of gossip girl?,"received an SMS which reveals that Dan was ""Gossip Girl"""
what event marks the beginning of the great depression?,"the stock market crash of October 29, 1929 (known as Black Tuesday)"
what is the main source of nutrients in an estuary?,detritus
what year did bennie and the jets come out?,1973
what does it mean on tinder common connections?,Common Connections allows users to see whether they share a mutual Facebook friend with a match (a first degree connection on Tinder) or when a user and their match have two separate friends who happen to be friends with each other (considered second degree on Tinder)
what is the origin of the name robinson?,English language patronymic surname
through what process has the colorado river created the grand canyon in the usa?,erosion
what is the role of reverse transcriptase in retroviral infection?,"to convert single-stranded genomic RNA into double-stranded cDNA which can integrate into the host genome, potentially generating a long-term infection that can be very difficult to eradicate"
what happened to the west wing of the white house during a christmas party in 1929?,significantly damaged by an electrical fire
what is the name of the last episode of spongebob?,"""Bottle Burglars"""
what kind of beast is the beast from beauty and the beast?,a chimera (a mixture of several animals)
what is the meaning of molech in the bible?,biblical name of a Canaanite god associated with child sacrifice
what age do you have to be to buy cigarettes in california?,21
what is the term of an official in the house of representatives?,Two years
what episode does goku give up against cell?,"""A Conclusion to the Deathmatch!! Goku's Declaration of Surrender!?"" / ""The Fight is Over"""
what type of tale is the pardoner's tale?,an extended exemplum
what does the c stand for chrysler 300c?,coupe
what is the mass number of hydrogen isotope that contains 2 neutrons?,3.01604928199(23) u
what do the 3 dots mean in math?,"the therefore sign (∴) is generally used before a logical consequence, such as the conclusion of a syllogism"
who plays peter in what we do in the shadows?,Ben Fransham
what is the maximum data rate for the 802.11a standard select one?,54 Mbit/s
what was the tower of london originally used for?,a royal residence
what type of fuel goes in a zippo?,butane
in photosynthesis the carbon in co2 is initially fixed to what molecule?,3-phosphoglycerate
what does istj mean in a personality test?,Introverted Sensing (Si)
what does it mean to be on parole?,a temporary release of a prisoner who agrees to certain conditions before the completion of the maximum sentence period
what part of brain is responsible for complex thinking?,the frontal lobe
what order do the captain america movies go in?,Captain America: The First Avenger
what do the economic systems of the uk germany and russia have in common?,reached an economy of at least US$2 trillion by GDP in nominal or PPP terms
what does the sun represent on the uruguay flag?,represents the May Revolution of 1810
what does the pearl symbolize in the bible?,the Kingdom of Heaven
who discovered the atom and in what year?,John Dalton
what is the purpose of the muscles that line the esophagus?,push the food down the esophagus
what was the first capital city of australia?,Melbourne
what is the meaning of the name mandy?,Lovable
what happened to the actor who played frost on rizzoli and isles?,committed suicide
what was the alliance between great britian russia and france known as?,The Triple Entente
what was icq as related to instant messaging?,an instant messaging client that was first developed and popularized by the Israeli company Mirabilis in 1996
what was the most important new religious figure of the new kingdom of ancient egypt?,"the Aten, a representation of the Egyptian god, Ra"
what is a cvv code on a visa gift card?,"a security feature for ""card not present"" payment card transactions instituted to reduce the incidence of credit card fraud"
what is the movie new jersey drive about?,"joy riding black teenagers in 1990s Newark, New Jersey"
what do mobile numbers start with in the uk?,0
what proposition made the insurance commissioner an elected position?,Proposition 103
what is the function of trnas in protein synthesis?,serves as the physical link between the mRNA and the amino acid sequence of proteins
what role does the president play in foreign affairs?,negotiates treaties with foreign nations
what is an example of a tricyclic antidepressant?,Amineptine
what is the most famous building in rennes?,Parlement de Bretagne
what is foreign account tax compliance act (fatca)?,"a 2010 United States federal law requiring all non-U.S. ('foreign') financial institutions (FFIs) to search their records for customers with indicia[clarification needed] of 'U.S.-person' status, such as a U.S. place of birth, and to report the assets and identities of such persons to the U.S. Department of the Treasury"
what is henry james the real thing about?,the unfortunate victims of a society in which reality and representation are closely intertwined in ways that make art a difficult project to untangle the two
where was one direction what makes you beautiful filmed?,"Malibu, California"
what was the full name of the titanic?,RMS Titanic
what is the full scientific name for the e. coli bacteria?,Escherichia coli
what is the time setting of game of thrones?,medieval
what is the second book in the alchemyst series?,The Magician
what is the width of a cricket bat?,no more than 4.25 inches (108 mm)
what does it mean when you roll your thumbs?,"an example of a useless, time-wasting activity"
what does the keys to the city mean?,"symbolises the freedom of the recipient to enter and leave the city at will, as a trusted friend of city residents"
what is one element a topographic map shows?,relief
what channel is nbc sports northwest on directv?,not available on satellite providers DirecTV
what is the term for circular movement around a central point?,Coriolis effect
in what state was the united states center of population gravity located during the period 1790?,Maryland
what is the third season of total drama?,Total Drama World Tour
what was the biggest tank in world war 2?,Panzerkampfwagen VIII Maus
what is the order of the netflix marvel shows?,Marvel's Daredevil
what word is used to describe knowledge about the universe and method of obtaining that knowledge?,epistemology
what is the name of the weapon the grim reaper carries?,scythe
what's the difference between salisbury steak and hamburger steak?,ingredients
what are the 3 layers of the meninges?,dura mater
what states do not allow daylight savings time?,Arizona
what is the role of the gut flora?,"by fermenting dietary fiber into short-chain fatty acids (SCFAs), such as acetic acid and butyric acid, which are then absorbed by the host"
what were the some of the causes for bacon's rebellion?,"The colony's dismissive policy as it related to the political challenges of its western frontier, along with other challenges including leaving Bacon out of his inner circle, refusing to allow Bacon to be a part of his fur trade with the Indians, and Doeg American Indian attacks"
what stage of the star life cycle is the sun in?,about halfway through its main-sequence stage
what nba player has scored the most 3 pointers?,Ray Allen
what was the ancient chinese umbrella used for?,often linked to high-ranking (though not necessarily royalty) in China
what level is a city and guilds qualification?,entry level to level 7
what is the setting of a dolls house?,a Norwegian town circa 1879
what's the nba record for most points in a half?,59
what is the approximate volume of the brain?,average adult brain volume of 1260 cubic centimeters (cm3) for men and 1130 cm3 for women
what does ss stand for on naval ships?,Single-screw Steamship
what is one of the main goal of the democratic party?,"social and economic equality, along with the welfare state"
what river flows through charleston west virginia’s capital?,the confluence of the Elk and Kanawha Rivers
what is the average salary for a us congressman?,"$174,000"
what does bajrang dal do on valentine's day?,caught un-married couples on Valentines day and forced them to apply sindoor or tie rakhis against their wishes
what was the religion in the virginia colony?,Anglican church
what is the movie dazed and confused about?,follows various groups of Texas teenagers during the last day of school in 1976
what is the scientific name for the calf muscle?,gastrocnemius muscle
what happened to jake and miley on hannah montana forever?,Miley finally ends it with him
what is the big gold dome in jerusalem?,Dome of the Rock
what episode does luffy get to fishman island?,Landing at the Fish-Man Island! Beautiful Mermaids!
what inspired huxley to write brave new world?,the utopian novels of H. G. Wells
criminal minds what episode does jj find out she pregnant?,The Crossing
what is the meaning of sinus rhythm in ecg?,cardiac rhythm where depolarization of the cardiac muscle begins at the sinus node
what is the meaning of the name habib?,beloved
what are the dimensions of an iphone se?,123.8 mm (4.87 in) H
what kind of trees have heart shaped leaves?,Eastern Redbud
what does troubadour mean in george strait song?,"the narrator reflects on his life as a troubadour, feeling that he is content with what he has accomplished"
what are the three fifty shades of grey books?,Fifty Shades of Grey
what is most likely cause of algal blooms?,"an excess of nutrients, particularly some phosphates"
what features of muscle contraction can be determined from an emg (electromyogram)?,electric potential generated
what is the meaning of the word autumn?,connotations of the passing of the year
what is the secret of the law of attraction?,the belief that by focusing on positive or negative thoughts people can bring positive or negative experiences into their life
what is don quixote's horse's name?,Rocinante
what is the population of fayetteville north carolina?,"204,408 in 2013"
what is the purpose of the bromophenol blue dye in the samples?,a pH indicator
what is mercy mercy me by marvin gaye about?,sorrow regarding the environment
what is the meaning of utang na loob?,"""a debt of one's inner self (loob)."""
what is the main objective of criminal law?,Retribution
what is the netflix show the ranch about?,"a dysfunctional family consisting of two brothers, their rancher father, and his divorced wife and local bar owner"
what is meant by the church is one?,"the oneness of the body, the church, through what Christians have in common, what they have communion in"
what dynasty completed the great wall of china?,Ming dynasty
what is united nations declaration of human rights?,consists of thirty articles affirming an individual's rights
what nfl team has the most expensive super bowl ring?,New England Patriots
what event caused the duma to establish a provisional government in russia?,the abdication of Tsar Nicholas II of the Russian Empire
